sic|sic_name|naics2017
34430116|SEPARATORS, INDUSTRIAL PROCESS: METAL PLATE|332313
34430117|SPHERES, FOR LIQUIDS OR GAS: METAL PLATE|332313
34940000|VALVE & PIPE FITTINGS, NEC|332919
39490402|ICE SKATES, PARTS AND ACCESSORIES|339920
31110203|UPPER LEATHER|316110
25910103|WINDOW SHADE ROLLERS & FITTINGS|337920
31310501|BOX TOES, LEATHER|316998
36459905|FLUORESCENT LIGHTING FIXTURES, RESIDENTIAL|335121
38230310|VISCOSIMETERS, INDUSTRIAL PROCESS TYPE|334513
22519901|DYEING & FINISHING WOMENS FULL- & KNEE-LENGTH HOSI|313220
39140209|TROPHIES, NICKLE SILVER|339910
25999907|HOSPITAL FURNITURE, EXCEPT BEDS|337127
25999906|MECHANICS DOLLIES|337127
25999905|STOOLS WITH CASTERS (NOT HOUSEHOLD OR OFFICE), MET|337127
25999904|SHIP FURNITURE|337127
25999903|HOTEL FURNITURE|337127
25999902|BOWLING ESTABLISHMENT FURNITURE|337127
25999901|BOARDS: PLANNING, DISPLAY, NOTICE|337127
25999900|FURNITURE & FIXTURES, NEC, NEC|337127
20910336|TUNA FISH, PRESERVED & CURED|311710
20910337|TUNA FISH: PACKAGED IN CANS, JARS, ETC|311710
20910334|SALMON: PACKAGED IN CANS, JARS, ETC|311710
20910335|SARDINES: PACKAGED IN CANS, JARS, ETC|311710
20910332|SALMON, SALTED|311710
20910333|SALMON, SMOKED|311710
20910330|SALMON, DRIED|311710
20910331|SALMON, PICKLED|311710
36390100|MAJOR KITCHEN APPLIANCES, EXCEPT REFRIGERATORS AND|335220
39520209|ENAMELS, CHINA PAINTING|339940
39520208|EASELS, ARTISTS|339940
26749906|VACUUM CLEANER BAGS: MADE FROM PURCHASED MATERIALS|322220
26749905|PAPER BAGS: MADE FROM PURCHASED MATERIALS|322220
26749904|MOTHPROOF BAGS: MADE FROM PURCHASED MATERIALS|322220
26749903|GLASSINE BAGS: MADE FROM PURCHASED MATERIALS|322220
26749902|FLOUR BAGS: MADE FROM PURCHASED MATERIALS|322220
26749901|CEMENT BAGS: MADE FROM PURCHASED MATERIALS|322220
26749900|BAGS: UNCOATED PAPER & MULTIWALL, NEC|322220
42149901|FURNITURE MOVING AND STORAGE, LOCAL|484210
55619901|MOTOR HOMES DEALERS|441210
20460100|CORN & OTHER VEGETABLE STARCHES|311999
28191102|AMMONIUM COMPOUNDS, EXCEPT FERTILIZERS, NEC|325180
17950000|WRECKING & DEMOLITION WORK|238910
42149900|LOCAL TRUCKING WITH STORAGE, NEC|484220
20950000|ROASTED COFFEE|311920
28191100|AMMONIUM SALTS & COMPOUNDS|325180
17529900|FLOOR LAYING & FLOOR WORK, NEC, NEC|238330
35720000|COMPUTER STORAGE DEVICES|334112
17999908|DIAMOND DRILLING & SAWING|238390
50880000|TRANSPORTATION EQUIPMENT AND SUPPLIES|423860
23810000|FABRIC DRESS & WORK GLOVES|315280
36410200|ELECTRIC LAMPS AND PARTS FOR SPECIALIZED APPLICATI|335110
36410201|ELECTROTHERAPEUTIC LAMP UNITS|335110
34690000|METAL STAMPINGS|332119
36410203|HEALTH LAMPS, INFRARED OR ULTRAVIOLET|335110
36410204|INFRARED LAMPS BULBS|335110
36410205|LAMPS, INSECT: ELECTRIC|335110
36410206|LAMPS, SEALED BEAM|335110
36410207|LAMPS, VAPOR|335110
36410208|PHOTOFLASH AND PHOTOFLOOD LAMPS|335110
36410209|PILOT LIGHTS, RADIO|335110
76290102|RAZOR REPAIR, ELECTRIC|811412
61110200|MUTUAL ASSOCIATION CREDIT AGENCIES|522292
72990500|FACILITY RENTAL AND PARTY PLANNING SERVICES|812990
72990501|BANQUET HALL FACILITIES|812990
72990502|PARTY PLANNING SERVICE|812990
72990503|WEDDING CHAPEL, PRIVATELY OPERATED|812990
20999920|VEGETABLES, PEELED FOR THE TRADE|311999
20999921|VINEGAR|311941
20999922|FAT SUBSTITUTES|311999
16230104|PIPELINE WRAPPING|237110
02910000|GENERAL FARMS, PRIMARILY ANIMALS|112990
16230100|OIL AND GAS LINE AND COMPRESSOR STATION CONSTRUCTI|237110
16230103|OIL AND GAS PIPELINE CONSTRUCTION|237110
16230102|NATURAL GAS COMPRESSOR STATION CONSTRUCTION|237110
22110213|TROUSERINGS, COTTON|315190
37280405|TURRET TEST FIXTURES, AIRCRAFT|336413
38220306|THERMOSTATS, EXCEPT BUILT-IN|334512
28959902|FURNACE BLACK|325180
41739903|MAINTENANCE FACILITIES, BUSES|488490
28959900|CARBON BLACK, NEC|325180
28959901|CHANNEL BLACK|325180
34790100|ETCHING & ENGRAVING|339910
34790101|CHASING ON METALS|332812
34790102|ENGRAVING JEWELRY, SILVERWARE, OR METAL|332812
34790103|ETCHING ON METALS|339910
34790104|ETCHING, PHOTOCHEMICAL|332812
01790000|FRUITS AND TREE NUTS NEC|111336
91210104|LEGISLATIVE STUDY COMMISSION|921120
91210100|LEGISLATIVE BODIES, NATIONAL|921120
91210101|CONGRESS|921120
91210102|LEGISLATIVE ADVISORY COMMISSION|921120
91210103|LEGISLATIVE ASSEMBLY|921120
50850704|TWINE|423710
32910204|STONES, ABRASIVE|327910
50850701|CORDAGE|423710
50850700|ROPE, CORD AND THREAD|423710
50850703|ROPE, EXCEPT  WIRE ROPE|423710
50850702|INDUSTRIAL SEWING THREAD|423710
51990703|PIPES, SMOKERS|424990
51990702|MATCHES|424990
51990701|LIGHTERS, CIGARETTE AND CIGAR|424990
51990700|SMOKERS SUPPLIES|424990
39910301|BRUSHES FOR VACUUM CLEANERS, CARPET SWEEPERS, ETC|339994
39910300|BRUSHES, EXCEPT PAINT AND VARNISH|339994
39910303|HAIR PENCILS (ARTISTS BRUSHES)|339994
39910302|BRUSHES, HOUSEHOLD OR INDUSTRIAL|339994
39910305|TOILET BRUSHES|339994
39910304|SHAVING BRUSHES|339994
39910306|TOOTHBRUSHES, EXCEPT ELECTRIC, MANUFACTURING|339994
50129900|AUTOMOBILES AND OTHER MOTOR VEHICLES, NEC|423110
35560402|DISTILLERY MACHINERY|333241
17310303|SOUND EQUIPMENT SPECIALIZATION|238390
02419901|DAIRY HEIFER REPLACEMENT FARM|112120
02419900|DAIRY FARMS, NEC|112120
28510301|PUTTY|325510
02419902|MILK PRODUCTION|112120
33560202|GOLD & GOLD ALLOY: ROLLING, DRAWING, OR EXTRUDING|331491
22520202|TIGHTS, EXCEPT WOMENS|313220
22520201|LEG WARMERS|313220
22520200|TIGHTS & LEG WARMERS|313220
36440000|NONCURRENT-CARRYING WIRING DEVICES|335932
76990702|SURGICAL INSTRUMENT REPAIR|811219
76990703|X-RAY EQUIPMENT REPAIR|811219
76990700|HOSPITAL EQUIPMENT REPAIR SERVICES|811219
76990701|MEDICAL EQUIPMENT REPAIR, NON-ELECTRIC|811219
60999911|TRAVELERS CHECKS ISSUANCE|522320
60999910|TAX CERTIFICATE SALE AND REDEMPTION AGENCIES|522320
60999912|AUTOMATED TELLER MACHINE (ATM) NETWORK|522320
87449901|BASE MAINTENANCE (PROVIDING PERSONNEL ON CONTINUIN|541820
87449900|FACILITIES SUPPORT SERVICES, NEC|561210
87449903|JAILS, PRIVATELY OPERATED|541820
87449902|CORRECTIONAL FACILITY|541820
39140206|LOVING CUPS, NICKLE SILVER|339910
31110201|PATENT LEATHER|316110
59440000|JEWELRY STORES|448310
34529908|WOOD SCREWS|332722
34529906|SCREW EYES & HOOKS|332722
34529907|SCREWS, METAL|332722
28440105|TONICS, HAIR|325620
28440104|SHAMPOOS, RINSES, CONDITIONERS: HAIR|325620
34529902|GATE HOOKS|332722
34529903|MACHINE KEYS|332722
28440101|BLEACHES, HAIR|325620
28440100|HAIR PREPARATIONS, INCLUDING SHAMPOOS|325620
73599906|RENTAL STORE, GENERAL|532310
35790100|MAILING, LETTER HANDLING AND ADDRESSING MACHINES|333318
35790103|ENVELOPE STUFFING, SEALING AND ADDRESSING MACHINES|333318
35790102|ADDRESSING MACHINES, PLATES AND PLATE EMBOSSERS|333318
35790105|LETTER FOLDING, STUFFING AND SEALING MACHINES|333318
35790104|FORMS HANDLING EQUIPMENT|333318
35790107|MAILING MACHINES, MANUFACTURING|333318
73599901|GARAGE FACILITY AND TOOL RENTAL|532490
31110202|SOLE LEATHER|316110
35790108|POSTAGE METERS|333318
38240303|SPEEDOMETERS|334514
22419910|SILK NARROW FABRICS|313220
22419911|WOOL NARROW WOVEN GOODS|313220
73599908|SIGN RENTAL|532490
73599909|STORES AND YARDS EQUIPMENT RENTAL|532490
26530206|PARTITIONS, SOLID FIBER: MADE FROM PURCHASED MATER|322211
26530207|SHEETS, SOLID FIBER: MADE FROM PURCHASED MATERIALS|322211
26530204|PADS, SOLID FIBER: MADE FROM PURCHASED MATERIALS|322211
26530205|PALLETS, SOLID FIBER: MADE FROM PURCHASED MATERIAL|322211
26530202|DISPLAY ITEMS, SOLID FIBER: MADE FROM PURCHASED MA|322211
26530203|HAMPERS, SOLID FIBER: MADE FROM PURCHASED MATERIAL|322211
26530200|SOLID FIBER BOXES, PARTITIONS, DISPLAY ITEMS, & SH|322211
26530201|BOXES, SOLID FIBER: MADE FROM PURCHASED MATERIALS|322211
86219907|SCIENTIFIC MEMBERSHIP ASSOCIATION|813920
86219906|PROFESSIONAL STANDARDS REVIEW BOARD|813920
86219905|ENGINEERING ASSOCIATION|813920
86219904|EDUCATION AND TEACHER ASSOCIATION|813920
86999911|WOMENS ORGANIZATIONS AND SERVICES|813410
17419905|MARBLE MASONRY, EXTERIOR CONSTRUCTION|238140
86219901|ACCOUNTING ASSOCIATION|813920
86219900|PROFESSIONAL ORGANIZATIONS, NEC|813920
31110406|LACE LEATHER|316110
31110407|SWEATBAND LEATHER|316110
31110404|GLOVE LEATHER|316110
31110405|HANDBAG LEATHER|316110
31110402|BELTING LEATHER|316110
31110403|CASE LEATHER|316110
31110400|ACCESSORY PRODUCTS, LEATHER|316110
31110401|BAG LEATHER|316110
22840303|EMBROIDERY THREAD|313220
22840302|DARNING THREAD|313220
22840301|CROCHET THREAD|313220
22840300|NEEDLE & HANDICRAFT THREAD|313220
22840307|TATTING THREAD|313220
22840306|SPINNING THREAD|313220
22840305|SEWING THREAD|313220
14990110|TURQUOISE MINING|212319
31310101|BOWS, SHOE|339993
31310100|BOOT & SHOE ACCESSORIES|316998
31310103|CLASPS, SHOE|339993
36120311|MACHINE TOOL TRANSFORMERS|335311
31310105|ORNAMENTS, SHOE|339993
36120317|TRIPPING TRANSFORMERS|335311
36120314|RECTIFIER TRANSFORMERS|335311
31310106|PEGS, SHOE|339993
36340402|BEDCOVERINGS, ELECTRIC|335210
36340403|BLANKETS, ELECTRIC|335210
36340400|HOUSEWARES, EXCLUDING COOKING APPLIANCES FOR UTENS|335210
36340401|AIR PURIFIERS, PORTABLE|335210
36340406|VAPORIZERS, ELECTRIC: HOUSEHOLD|335210
36340407|WATER PULSATING DEVICES, ELECTRIC|335210
36340404|BLENDERS, ELECTRIC|335210
25310000|PUBLIC BUILDING & RELATED FURNITURE|337127
27119901|NEWSPAPERS: PUBLISHING ONLY, NOT PRINTED ON SITE|511110
20249900|ICE CREAM & FROZEN DESSERTS, NEC|311520
25150205|SPRING CUSHIONS|337910
25150204|COT SPRINGS, ASSEMBLED|337910
25150203|CHAIR & COUCH SPRINGS, ASSEMBLED|337910
25150202|BOX SPRINGS, ASSEMBLED|337910
25150201|BEDSPRINGS, ASSEMBLED|337910
25150200|FURNITURE SPRINGS|337910
49250000|GAS PRODUCTION AND/OR DISTRIBUTION|221210
73349905|PHOTOCOPY SERVICE|561439
34239919|MASONS HAND TOOLS|332216
56320000|WOMENS ACCESSORY AND SPECIALTY STORES|448150
54419900|CANDY, NUT AND CONFECTIONERY STORES, NEC|445292
54419901|CANDY, RETAIL|311340
54419902|CONFECTIONERY|311340
54419903|CONFECTIONERY, DIRECT SALE ON PREMISES|445292
54419904|NUTS|445292
54419905|POPCORN|445292
32310403|LAMINATED GLASS, MADE FROM PURCHASED GLASS|327215
17420000|PLASTERING, DRYWALL AND INSULATION|238310
51130100|SHIPPING SUPPLIES|424130
38610502|BROWNPRINT REPRODUCTION MACHINES AND EQUIPMENT|325992
51530106|WILD RICE|424510
51530105|WHEAT, WHOLESALE|424510
51530104|RICE, UNPOLISHED|424510
51530103|OATS|424510
51530102|CORN, WHOLESALE|424510
51530101|BARLEY|424510
09190000|MISCELLANEOUS MARINE PRODUCTS|114119
51490803|FRUITS, DRIED|424490
34430118|STILLS, PRESSURE: METAL PLATE|332313
39110101|BRACELETS, PRECIOUS METAL|339910
39110100|JEWELRY APPAREL|339910
39110107|PINS (JEWELRY), PRECIOUS METAL|339910
39110106|PEARL JEWELRY, NATURAL OR CULTURED|339910
39110105|NECKLACES, PRECIOUS METAL|339910
34430119|TANK TOWERS, METAL PLATE|333414
39110109|ROSARIES OR OTHER SMALL RELIGIOUS ARTICLES PRECIOU|339910
39110108|RINGS, FINGER: PRECIOUS METAL|339910
32310406|TEMPERED GLASS: MADE FROM PURCHASED GLASS|327215
24919906|WOOD PRODUCTS, CREOSOTED|321114
34239911|ENGRAVERS TOOLS, HAND|332216
24919904|STRUCTURAL LUMBER & TIMBER, TREATED WOOD|321114
24919905|VEHICLE LUMBER, TREATED WOOD|321114
24919902|MILLWORK, TREATED WOOD|321114
24919903|PRESERVING (CREOSOTING) OF WOOD|321114
24919900|WOOD PRESERVING, NEC|321114
24919901|FLOORING, TREATED WOOD BLOCK|321114
34239913|IRONWORKERS HAND TOOLS|332216
20230312|POWDERED WHEY|311514
20230311|POWDERED SKIM MILK|311514
20230310|POWDERED MILK|311514
59410601|BACKPACKING EQUIPMENT|451110
38420401|ABDOMINAL SUPPORTERS, BRACES AND TRUSSES|339113
34239914|JACKS: LIFTING, SCREW, OR RATCHET (HAND TOOLS)|332216
30890322|WINDOWS, PLASTICS|326199
23990300|BANNERS, PENNANTS & FLAGS|314999
23990301|BANNERS, MADE FROM FABRIC|314999
23990302|FLAGS, FABRIC|314999
23990303|PENNANTS|314999
35750101|CATHODE RAY TUBE (CRT), COMPUTER TERMINAL|334118
35750100|COMPUTER TERMINALS, MONITORS AND COMPONENTS|334118
35750103|TELEPRINTERS (CRT), MULTISTATION|334118
35750102|KEYBOARDS, COMPUTER, OFFICE MACHINE|334118
63310203|FIRE, MARINE AND CASUALTY INSURANCE: STOCK|524126
61639901|AGENTS, FARM OR BUSINESS LOAN|522310
35370103|CRADLES, BOAT|333924
67999900|INVESTORS, NEC, NEC|523910
35370101|AIRCRAFT ENGINE CRADLES|333924
35370100|PLATFORMS, STANDS, TABLES, PALLETS, ETC|333924
35370107|PALLETS, METAL|332999
35370106|LOADING DOCKS: PORTABLE, ADJUSTABLE AND HYDRAULIC|333924
35370105|ENGINE STANDS AND RACKS, METAL|333924
35370104|CRADLES, DRUM|333924
33390304|SILICON, PURE|331410
35370109|SKID BOXES, METAL|333924
35370108|PLATFORMS, CARGO|333924
33390301|CHROMIUM REFINING (PRIMARY)|331410
33390300|SILICON & CHROMIUM|331410
33390303|SILICON, EPITAXIAL (SILICON ALLOY)|331410
33390302|SILICON REFINING (PRIMARY, OVER 99% PURE)|331410
22549903|UNDERWEAR, KNIT|315190
59991605|HERALDIC INSIGNIA|453998
44810000|DEEP SEA PASSENGER TRANSPORTATION, EXCEPT FERRY|483112
59991607|COLLECTIBLE(COLLECTABLE) PLATES|453998
59991606|PICTURE FRAMES READY MADE|453998
59991601|ART DEALERS|453920
59991600|ART, PICTURE FRAMES AND DECORATIONS|453998
59991603|CANDLE SHOPS|453998
59991602|ARTIFICIAL FLOWERS, RETAIL|453998
51490102|MARGARINE|424490
12319904|UNDERGROUND MINING, ANTHRACITE|212113
73349900|PHOTOCOPYING AND DUPLICATING SERVICES, NEC|561439
12319903|STRIP MINING, ANTHRACITE|212113
07510100|CATTLE SERVICES|115210
33419900|SECONDARY NONFERROUS METALS, NEC|331492
20150602|POULTRY, PROCESSED: CANNED|311615
20150603|POULTRY, PROCESSED: COOKED|311615
20150600|POULTRY SLAUGHTERING & PROCESSING|311615
20150601|POULTRY, PROCESSED, NSK|311615
20150606|POULTRY, PROCESSED: SMOKED|311615
20150607|POULTRY, PROCESSED: SPICED|311615
20150604|POULTRY, PROCESSED: FRESH|311615
20150605|POULTRY, PROCESSED: FROZEN|311615
20150608|POULTRY, SLAUGHTERED & DRESSED|311615
70110400|INNS|721191
20220101|DIPS, CHEESE-BASED|311513
51490103|OLEOMARGARINE|424490
20220100|CHEESE SPREADS, DIPS, PASTES, & OTHER CHEESE PRODU|311513
73710101|COMPUTER SOFTWARE SYSTEMS ANALYSIS AND DESIGN, CUS|541511
35520000|TEXTILE MACHINERY|333249
73710100|CUSTOM COMPUTER PROGRAMMING SERVICES|541511
96110403|ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS, COUNT|926110
23690202|BEACHWEAR: GIRLS, CHILDRENS & INFANTS|315210
96110401|ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS, FEDER|926110
17990300|SERVICE STATION EQUIPMENT|238390
01749902|LEMON GROVE|111320
20230201|CONCENTRATED BUTTERMILK|311514
51999922|SHEET MUSIC, WHOLESALE|424990
01749903|LIME GROVE|111320
33419909|MAGNESIUM SMELTING & REFINING (SECONDARY)|331420
51999923|VARIETY STORE MERCHANDISE|424990
01749900|CITRUS FRUITS, NEC|111320
33419908|IRIDIUM SMELTING & REFINING (SECONDARY)|331420
57190301|FIREPLACE EQUIPMENT AND ACCESSORIES, RETAIL|442299
57190300|FIREPLACES AND WOOD BURNING STOVES|442299
57190303|COAL BURNING STOVES|442299
01749901|GRAPEFRUIT GROVE|111320
22610304|TEASELING COTTON BROADWOVEN GOODS|313220
36470109|TAILLIGHTS, MOTOR VEHICLE|336320
07510102|DAIRY HERD IMPROVEMENT ASSOCIATION SERVICES|115210
22610300|DECORATIVE FINISHING OF COTTON BROADWOVEN FABRICS|313310
22610301|EMBOSSING COTTON BROADWOVEN FABRICS|313310
22610302|FLOCKING OF COTTON BROADWOVEN FABRICS|313310
22610303|NAPPING OF COTTON BROADWOVEN FABRICS|313310
22959904|SLEEVING, TEXTILE: SATURATED|313220
35630200|SPRAYING AND DUSTING EQUIPMENT|333912
23210101|BLOUSES, BOYS:MADE FROM PURCHASED MATERIALS|315220
62110200|FLOTATION COMPANIES|523910
62110201|DISTRIBUTORS, SECURITY|523910
62110202|INVESTMENT BANKERS|523910
62110203|INVESTMENT CERTIFICATE SALES|523910
62110204|INVESTMENT FIRM, GENERAL BROKERAGE|523910
62110205|SECURITIES FLOTATION COMPANIES|523910
62110206|SYNDICATE SHARES (REAL ESTATE, ENTRTN, EQUIP) SALE|523910
62110207|UNDERWRITERS, SECURITY|523110
50320303|CLAY CONSTRUCTION MATERIALS, EXCEPT REFRACTORY|423320
24290302|SHINGLE MILL|321113
24290303|SHINGLES, WOOD: SAWED OR HAND SPLIT|321113
24290300|SHINGLE & SHINGLE MILLS|321113
50470308|MEDICAL LABORATORY EQUIPMENT|423450
50470307|INCONTINENT CARE PRODUCTS AND SUPPLIES|423450
50470306|HEARING AIDS, WHOLESALE|423450
50470305|GLASS, MEDICAL|423450
73239902|CREDIT REPORTING BUREAUS, CONSUMER|561450
50470303|DIAGNOSTIC EQUIPMENT, MEDICAL|423450
50470302|BATHS, WHIRLPOOL|423450
50470301|ARTIFICIAL LIMBS, WHOLESALE|423450
50470300|MEDICAL EQUIPMENT AND SUPPLIES|423450
50320300|TILE AND CLAY PRODUCTS|423320
80410101|OFFICES AND CLINICS OF CHIROPRACTORS|621310
50320307|TILE, STRUCTURAL CLAY|423320
20370102|FRUITS, QUICK FROZEN & COLD PACK (FROZEN)|311411
50320306|TILE, CLAY OR OTHER CERAMIC, EXCLUDING REFRACTORY|423320
50319901|COMPOSITE BOARD PRODUCTS, WOODBOARD|444190
50319900|LUMBER, PLYWOOD AND MILLWORK, NEC|423310
50319903|KITCHEN CABINETS|444190
50319902|HARDBOARD, WHOLESALE|444190
50319905|MEDIUM DENSITY FIBERBOARD|444190
50319904|LUMBER, ROUGH, DRESSED AND FINISHED|444190
50319907|PALLETS, WOOD, WHOLESALE|423310
50319906|MILLWORK|423310
50319909|PLYWOOD|423310
50319908|PARTICLEBOARD|444190
79979900|MEMBERSHIP SPORTS AND RECREATION CLUBS, NEC|713910
50320304|SEWER PIPE, CLAY|423320
79979906|GOLF CLUB, MEMBERSHIP|713910
79979907|LAWN BOWLING CLUB, MEMBERSHIP|713910
79979904|COUNTRY CLUB, MEMBERSHIP|713910
79979905|FLYING FIELD, MAINTAINED BY AVIATION CLUBS|713910
36340202|CAN OPENERS, ELECTRIC|335210
72180101|LAUNDERED MAT & RUG SUPPLY|812332
72180100|INDUSTRIAL EQUIPMENT LAUNDERERS|812332
01720000|GRAPES|111332
72180102|TREATED EQUIPMENT SUPPLY: MATS, RUGS, MOPS, CLOTHS|812332
23819904|GLOVES, WOVEN & KNIT MADE FROM PURCHASED MATERIALS|315990
23819905|MITTENS, WOVEN & KNIT MADE FROM PURCHASED MATERIAL|315990
23819902|GLOVE LININGS, EXCEPT FUR|315990
23819903|GLOVES, WORK: WOVEN & KNIT MADE FROM PURCHASED MAT|315990
23819900|FABRIC DRESS & WORK GLOVES, NEC|315280
23819901|DYEING GLOVES, WOVEN OR KNIT: FOR THE TRADE|315990
54519900|DAIRY PRODUCTS STORES, NEC|445299
86110000|BUSINESS ASSOCIATIONS|813910
60990101|AUTOMATED CLEARINGHOUSES|522320
26710000|PAPER: COATED & LAMINATED PACKAGING|322220
60990100|CHECK CLEARING SERVICES|522320
38270105|GLASSES, FIELD OR OPERA|333314
38270104|CODDINGTON MAGNIFYING INSTRUMENTS|333314
38270107|LENSES, OPTICAL: ALL TYPES EXCEPT OPHTHALMIC|333314
38270106|GUN SIGHTS, OPTICAL|333314
38270101|BINOCULARS, MANUFACTURING|333314
38270100|OPTICAL INSTRUMENTS AND APPARATUS|333314
38270103|CINETHEODOLITES|333314
38270102|BOROSCOPES|333314
35119900|TURBINES AND TURBINE GENERATOR SETS, NEC|333611
21310000|CHEWING AND SMOKING TOBACCO|312230
39991200|IDENTIFICATION BADGES AND INSIGNIA|339999
38270109|MAGNIFYING INSTRUMENTS, NEC, OPTICAL|333314
38270108|LUPES MAGNIFYING INSTRUMENTS, OPTICAL|333314
37210203|BLIMPS|336411
37210202|BALLOONS, HOT AIR (AIRCRAFT)|336411
37210201|AIRSHIPS|336411
37210200|NONMOTORIZED AND LIGHTER-THAN-AIR AIRCRAFT|336411
75380104|TRUCK ENGINE REPAIR, EXCEPT INDUSTRIAL|811111
37210206|HANG GLIDERS, MANUFACTURING|336411
37210205|GLIDERS (AIRCRAFT)|336411
37210204|DIRIGIBLES|336411
39520203|BRUSHES, AIR, ARTISTS|339940
57220101|GAS RANGES|443141
57220100|GAS HOUSEHOLD APPLIANCES|443141
39520202|BOXES, SKETCHING AND PAINT|339940
12210103|STRIP MINING, BITUMINOUS|212111
12210102|CULM BANK MINING|111998
12210101|AUGER MINING, BITUMINOUS|212111
12210100|BITUMINOUS COAL SURFACE MINING|212111
12210106|SURFACE MINING, LIGNITE, NEC|212111
12210105|SURFACE MINING, BITUMINOUS, NEC|212111
12210104|STRIP MINING, LIGNITE|212111
28330212|MORPHINE & DERIVATIVES|325411
38610100|SENSITIZED FILM, CLOTH AND PAPER|325992
34620201|PUMP & COMPRESSOR FORGINGS, FERROUS|332111
17819902|SERVICING WATER WELLS|237110
17819901|GEOTHERMAL DRILLING|237110
17819900|WATER WELL DRILLING, NEC|237110
22959905|TUBING, TEXTILE: VARNISHED|313220
89990401|MUSIC ARRANGING AND COMPOSING|711510
89990400|SONG WRITINGS|711510
50740103|WATER SOFTENERS|423720
20910101|BOUILLON, CLAM: PACKAGED IN CANS, JARS, ETC|311710
20910100|FISH & SEAFOOD SOUPS, STEWS, CHOWDERS, CANNED OR P|311710
20910103|BROTH, FISH & SEAFOOD: PACKAGED IN CANS, JARS, ETC|311710
20910102|BROTH, CLAM: PACKAGED IN CANS, JARS, ETC|311710
20910105|CHOWDER, FISH & SEAFOOD: PACKAGED IN CANS, JARS, E|311710
20910104|CHOWDER, CLAM: PACKAGED IN CANS, JARS, ETC|311710
20910107|STEWS, FISH & SEAFOOD: PACKAGED IN CANS, JARS, ETC|311710
20910106|SOUP, FISH & SEAFOOD: PACKAGED IN CANS, JARS, ETC|311710
31310500|BODY PARTS, SHOE OUTERS|316998
36120111|VOLTAGE REGULATING TRANSFORMERS, ELECTRIC POWER|335311
50650408|TV PARTS AND ACCESSORIES, NEC|423720
50650409|VIDEO EQUIPMENT, ELECTRONIC|423690
38610000|PHOTOGRAPHIC EQUIPMENT AND SUPPLIES|333316
92119904|JUSTICE OF THE PEACE|922110
50650400|RADIO & TELEVISION EQUIPMENT AND PARTS|423720
50650401|CATHODE RAY PICTURE TUBES|423720
50650402|CITIZENS BAND RADIOS|423720
50650403|CLOSED CIRCUIT TV|423720
50650404|RADIO PARTS AND ACCESSORIES, NEC|423720
50650405|RADIO RECEIVING AND TRANSMITTING TUBES|423720
50650406|TELEVISION RECEIVING AND TRANSMITTING TUBES|423720
50650407|TRANSMITTERS|423720
39159900|JEWELERS MATERIALS AND LAPIDARY WORK, NEC|339910
